flight_number,airline_name,departure_airport,departure_city,departure_country,departure_time,arrival_airport,arrival_city,duration_hours
CX5044,Cathay Pacific,Hong Kong International,Hong Kong,China,3:08 AM,Changi,Singapore,15.78
AM3135,Aeroméxico,Benito Juárez International,Mexico City,Mexico,3:24 PM,O'Hare International,Chicago,12.41
ET7859,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,2:28 PM,Hamad International,Doha,1.56
SK9763,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,12:15 AM,Charles de Gaulle,Paris,19.81
AF9732,Air France,Charles de Gaulle,Paris,France,5:05 AM,Hamad International,Doha,11.48
AC3232,Air Canada,Toronto Pearson,Toronto,Canada,3:13 AM,John F. Kennedy International,New York,7.87
BA7786,British Airways,Heathrow,London,UK,8:49 AM,Charles de Gaulle,Paris,6.06
DL6420,Delta Air Lines,John F. Kennedy International,New York,USA,7:39 PM,Hartsfield-Jackson Atlanta,Atlanta,14.72
UA8491,United Airlines,Los Angeles International,Los Angeles,USA,1:32 PM,San Francisco International,San Francisco,15.7
TG7636,Thai Airways,Suvarnabhumi,Bangkok,Thailand,1:42 PM,Changi,Singapore,7.07
DL1309,Delta Air Lines,John F. Kennedy International,New York,USA,6:01 PM,Denver International,Denver,3.18
QR3479,Qatar Airways,Hamad International,Doha,Qatar,8:52 AM,Bole International,Addis Ababa,19.99
QF4326,Qantas,Sydney Airport,Sydney,Australia,3:48 PM,Melbourne Airport,Melbourne,4.8
SK9731,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,2:51 AM,Charles de Gaulle,Paris,16.22
LA5411,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,2:28 AM,Ministro Pistarini International,Buenos Aires,7.79
AZ3815,Alitalia,Leonardo da Vinci International,Rome,Italy,9:56 PM,Frankfurt Airport,Frankfurt,20.56
SA8464,South African Airways,O.R. Tambo International,Johannesburg,South Africa,8:43 PM,Charles de Gaulle,Paris,1.66
AA5136,American Airlines,John F. Kennedy International,New York,USA,8:52 AM,Hartsfield-Jackson Atlanta,Atlanta,22.05
SQ2197,Singapore Airlines,Changi,Singapore,Singapore,8:38 AM,Beijing Capital International,Beijing,17.2
AI2188,Air India,Indira Gandhi International,Delhi,India,8:04 AM,Chhatrapati Shivaji International,Mumbai,5.58
AM1862,Aeroméxico,Benito Juárez International,Mexico City,Mexico,7:11 PM,Arturo Merino Benítez International,Santiago,16.8
AA4623,American Airlines,John F. Kennedy International,New York,USA,10:17 AM,Dallas/Fort Worth International,Dallas,20.57
QR6105,Qatar Airways,Hamad International,Doha,Qatar,1:22 PM,Bole International,Addis Ababa,18.86
AM4372,Aeroméxico,Benito Juárez International,Mexico City,Mexico,8:42 AM,O'Hare International,Chicago,14.17
WN9889,Southwest Airlines,Los Angeles International,Los Angeles,USA,7:31 PM,San Francisco International,San Francisco,10.05
AI6681,Air India,Indira Gandhi International,Delhi,India,12:08 PM,Chhatrapati Shivaji International,Mumbai,14.69
BA6603,British Airways,Heathrow,London,UK,6:09 AM,Copenhagen Airport,Copenhagen,3.88
LA9846,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,11:25 PM,Ministro Pistarini International,Buenos Aires,3.95
AF6240,Air France,Charles de Gaulle,Paris,France,1:38 PM,Frankfurt Airport,Frankfurt,19.58
KL3711,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,1:39 PM,Charles de Gaulle,Paris,20.33
KE3093,Korean Air,Incheon International,Seoul,South Korea,12:51 PM,O.R. Tambo International,Johannesburg,20.09
DL6351,Delta Air Lines,John F. Kennedy International,New York,USA,7:00 PM,Hartsfield-Jackson Atlanta,Atlanta,16.99
SQ8281,Singapore Airlines,Changi,Singapore,Singapore,12:45 PM,Amsterdam Airport Schiphol,Amsterdam,6.03
SK2512,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,11:01 AM,Charles de Gaulle,Paris,13.96
SQ5198,Singapore Airlines,Changi,Singapore,Singapore,7:09 PM,Beijing Capital International,Beijing,20.75
BA5740,British Airways,Heathrow,London,UK,2:44 PM,Charles de Gaulle,Paris,12.8
UA1633,United Airlines,Los Angeles International,Los Angeles,USA,11:38 AM,San Francisco International,San Francisco,8.76
DL9459,Delta Air Lines,John F. Kennedy International,New York,USA,5:20 PM,Hartsfield-Jackson Atlanta,Atlanta,8.51
LA6020,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,1:04 AM,Ministro Pistarini International,Buenos Aires,2.61
AV8059,Avianca,El Dorado International,Bogotá,Colombia,6:36 PM,O'Hare International,Chicago,8.57
LA9049,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,2:49 AM,Ministro Pistarini International,Buenos Aires,17.7
ET7315,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,2:24 AM,Hamad International,Doha,1.11
IB8526,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,8:18 PM,Charles de Gaulle,Paris,17.66
NH8860,All Nippon Airways,Haneda,Tokyo,Japan,6:54 AM,Incheon International,Seoul,13.05
TG8482,Thai Airways,Suvarnabhumi,Bangkok,Thailand,6:10 AM,Changi,Singapore,16.23
NZ5754,Air New Zealand,Auckland Airport,Auckland,New Zealand,11:28 PM,Melbourne Airport,Melbourne,19.25
SQ5891,Singapore Airlines,Changi,Singapore,Singapore,12:12 PM,Kuala Lumpur International,Kuala Lumpur,11.39
QF8612,Qantas,Sydney Airport,Sydney,Australia,12:44 PM,Melbourne Airport,Melbourne,8.95
DL8128,Delta Air Lines,John F. Kennedy International,New York,USA,1:51 PM,Hartsfield-Jackson Atlanta,Atlanta,17.62
IB1849,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,9:06 PM,Chhatrapati Shivaji International,Mumbai,13.15
AZ2467,Alitalia,Leonardo da Vinci International,Rome,Italy,5:33 AM,Vienna International,Vienna,3.72
AF5759,Air France,Charles de Gaulle,Paris,France,9:58 PM,Frankfurt Airport,Frankfurt,3.58
KL2728,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,8:41 PM,Charles de Gaulle,Paris,4.7
LA7114,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,1:36 PM,Ministro Pistarini International,Buenos Aires,16.21
LH5523,Lufthansa,Frankfurt Airport,Frankfurt,Germany,6:19 PM,Charles de Gaulle,Paris,7.18
AI4924,Air India,Indira Gandhi International,Delhi,India,10:23 AM,Chhatrapati Shivaji International,Mumbai,16.54
CX7552,Cathay Pacific,Hong Kong International,Hong Kong,China,10:39 AM,Changi,Singapore,21.76
CX9568,Cathay Pacific,Hong Kong International,Hong Kong,China,11:04 AM,Changi,Singapore,4.49
WN7987,Southwest Airlines,Los Angeles International,Los Angeles,USA,7:23 AM,John F. Kennedy International,New York,9.08
SA6582,South African Airways,O.R. Tambo International,Johannesburg,South Africa,12:16 AM,Charles de Gaulle,Paris,16.81
LH3292,Lufthansa,Frankfurt Airport,Frankfurt,Germany,12:20 PM,Charles de Gaulle,Paris,15.6
SA9098,South African Airways,O.R. Tambo International,Johannesburg,South Africa,12:03 AM,Jomo Kenyatta International,Nairobi,22.02
SK5810,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,6:15 PM,Charles de Gaulle,Paris,13.57
QR7450,Qatar Airways,Hamad International,Doha,Qatar,8:12 AM,Hong Kong International,Hong Kong,23.94
AA7925,American Airlines,John F. Kennedy International,New York,USA,5:29 PM,Hartsfield-Jackson Atlanta,Atlanta,21.65
UA2884,United Airlines,Los Angeles International,Los Angeles,USA,8:59 AM,Seattle-Tacoma International,Seattle,21.89
KL7028,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,6:56 PM,Charles de Gaulle,Paris,16.98
NZ4265,Air New Zealand,Auckland Airport,Auckland,New Zealand,10:32 PM,Miami International,Miami,7.66
NZ1813,Air New Zealand,Auckland Airport,Auckland,New Zealand,2:28 PM,Sydney Airport,Sydney,22.52
EK4642,Emirates,Dubai International,Dubai,UAE,8:49 PM,Hamad International,Doha,5.98
ET2018,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,12:21 AM,Hamad International,Doha,17.42
AM3348,Aeroméxico,Benito Juárez International,Mexico City,Mexico,8:45 PM,O'Hare International,Chicago,5.68
NZ4231,Air New Zealand,Auckland Airport,Auckland,New Zealand,5:58 AM,Sydney Airport,Sydney,17.59
EK4042,Emirates,Dubai International,Dubai,UAE,6:25 PM,Hamad International,Doha,11.96
QR6105,Qatar Airways,Hamad International,Doha,Qatar,3:37 PM,Bole International,Addis Ababa,20.04
KL2768,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,7:01 PM,Charles de Gaulle,Paris,14.38
